flare_id,log,flash_index,dark_s
FLR-00015,RIDGE,2,0.4406202
FLR-00015,RIDGE,3,0.1774342
FLR-00015,RIDGE,4,0.187385
FLR-00015,RIDGE,5,
FLR-00016,LAMP,1,0.0760519
FLR-00016,LAMP,2,0.0725019
FLR-00016,LAMP,3,0.0634018
FLR-00016,LAMP,4,0.0718078
FLR-00016,LAMP,5,
FLR-00017,RIDGE,1,0.048
FLR-00017,RIDGE,2,0.164
FLR-00017,RIDGE,3,0.228
FLR-00017,RIDGE,4,0.194
FLR-00017,RIDGE,5,
FLR-00018,RIDGE,1,0.269
FLR-00018,RIDGE,2,0.2627
FLR-00018,RIDGE,3,0.2717
FLR-00018,RIDGE,4,0.2849
FLR-00018,RIDGE,5,
FLR-00019,LAMP,1,0.359725
FLR-00019,LAMP,2,0.3396
FLR-00019,LAMP,3,0.1643167
FLR-00019,LAMP,4,0.166275
FLR-00019,LAMP,5,
FLR-00020,LAMP,1,0.5352917
FLR-00020,LAMP,2,0.5147333
FLR-00020,LAMP,3,0.2632584
FLR-00020,LAMP,4,0.249225
FLR-00020,LAMP,5,
FLR-00021,LAMP,1,0.4389333
FLR-00021,LAMP,2,0.4302417
FLR-00021,LAMP,3,0.22405
FLR-00021,LAMP,4,0.22225
FLR-00021,LAMP,5,
FLR-00022,RIDGE,1,0.3522
FLR-00022,RIDGE,2,0.3479
FLR-00022,RIDGE,3,0.3467
FLR-00022,RIDGE,4,0.3465
FLR-00022,RIDGE,5,
FLR-00023,RIDGE,1,0.089
FLR-00023,RIDGE,2,0.101
FLR-00023,RIDGE,3,0.084
FLR-00023,RIDGE,4,0.08
FLR-00023,RIDGE,5,
FLR-00024,RIDGE,1,0.0845417
FLR-00024,RIDGE,2,0.093625
FLR-00024,RIDGE,3,0.0732
FLR-00024,RIDGE,4,0.0780416
FLR-00024,RIDGE,5,
FLR-00025,RIDGE,1,0.1233202
FLR-00025,RIDGE,2,0.1177759
FLR-00025,RIDGE,3,0.1089674
FLR-00025,RIDGE,4,0.1158978
FLR-00025,RIDGE,5,
FLR-00026,LAMP,1,0.0028264
FLR-00026,LAMP,2,0.202074
FLR-00026,LAMP,3,0.2301994
FLR-00026,LAMP,4,0.1614325
FLR-00026,LAMP,5,0.1245737
FLR-00026,LAMP,6,
FLR-00027,RIDGE,1,0.0464578
FLR-00027,RIDGE,2,0.0380313
FLR-00027,RIDGE,3,0.038782
FLR-00027,RIDGE,4,0.0647214
FLR-00027,RIDGE,5,0.0377076
FLR-00027,RIDGE,6,0.0834908
FLR-00027,RIDGE,7,
FLR-00028,RIDGE,1,0.073
FLR-00028,RIDGE,2,0.088
FLR-00028,RIDGE,3,0.065
FLR-00028,RIDGE,4,0.064
FLR-00028,RIDGE,5,
FLR-00029,RIDGE,1,0.4446
FLR-00029,RIDGE,2,0.4175
FLR-00029,RIDGE,3,0.1822
FLR-00029,RIDGE,4,0.1926
FLR-00029,RIDGE,5,
FLR-00030,LAMP,1,0.2694166
FLR-00030,LAMP,2,0.2680334
FLR-00030,LAMP,3,0.1515833
FLR-00030,LAMP,4,0.1230167
FLR-00030,LAMP,5,
FLR-00031,RIDGE,1,0.095
FLR-00031,RIDGE,2,0.089
FLR-00031,RIDGE,3,0.072
FLR-00031,RIDGE,4,0.069
FLR-00031,RIDGE,5,
FLR-00032,RIDGE,1,0.3489
FLR-00032,RIDGE,2,0.3433
FLR-00032,RIDGE,3,0.3423
FLR-00032,RIDGE,4,0.3504
FLR-00032,RIDGE,5,
FLR-00033,LAMP,1,0.2752583
FLR-00033,LAMP,2,0.2734
FLR-00033,LAMP,3,0.1888833
FLR-00033,LAMP,4,0.1513
FLR-00033,LAMP,5,
FLR-00034,LAMP,1,0.1083916
FLR-00034,LAMP,2,0.0852667
FLR-00034,LAMP,3,0.0695833
FLR-00034,LAMP,4,0.0762667
FLR-00034,LAMP,5,
FLR-00035,RIDGE,1,0.1170333
FLR-00035,RIDGE,2,0.13455
FLR-00035,RIDGE,3,0.12155
FLR-00035,RIDGE,4,0.1253083
FLR-00035,RIDGE,5,
FLR-00036,RIDGE,1,0.10285
FLR-00036,RIDGE,2,0.0837917
FLR-00036,RIDGE,3,0.0746666
FLR-00036,RIDGE,4,0.0616917
FLR-00036,RIDGE,5,
FLR-00037,RIDGE,1,0.4368
FLR-00037,RIDGE,2,0.4298
FLR-00037,RIDGE,3,0.2058
FLR-00037,RIDGE,4,0.2
FLR-00037,RIDGE,5,
FLR-00038,LAMP,1,0.4414083
FLR-00038,LAMP,2,0.4284
FLR-00038,LAMP,3,0.2099333
FLR-00038,LAMP,4,0.2087917
FLR-00038,LAMP,5,
FLR-00039,RIDGE,1,0.05
FLR-00039,RIDGE,2,0.149
FLR-00039,RIDGE,3,0.238
FLR-00039,RIDGE,4,0.171
FLR-00039,RIDGE,5,
FLR-00040,RIDGE,1,0.3704859
FLR-00040,RIDGE,2,0.3490163
FLR-00040,RIDGE,3,0.3854913
FLR-00040,RIDGE,4,0.3777772
FLR-00040,RIDGE,5,
FLR-00041,RIDGE,1,0.0461
FLR-00041,RIDGE,2,0.0505
FLR-00041,RIDGE,3,0.0461
FLR-00041,RIDGE,4,0.058
FLR-00041,RIDGE,5,0.0664
FLR-00041,RIDGE,6,
FLR-00042,LAMP,1,0.4705583
FLR-00042,LAMP,2,0.44965
FLR-00042,LAMP,3,0.2036417
FLR-00042,LAMP,4,0.2207083
FLR-00042,LAMP,5,
FLR-00043,RIDGE,1,0.128282
FLR-00043,RIDGE,2,0.1706518
FLR-00043,RIDGE,3,0.0816263
FLR-00043,RIDGE,4,0.1268213
FLR-00043,RIDGE,5,
FLR-00044,LAMP,1,0.235925
FLR-00044,LAMP,2,0.2202916
FLR-00044,LAMP,3,0.163625
FLR-00044,LAMP,4,0.1633
FLR-00044,LAMP,5,
FLR-00045,LAMP,1,0.0459311
FLR-00045,LAMP,2,0.0492834
FLR-00045,LAMP,3,0.0533666
FLR-00045,LAMP,4,0.05075
FLR-00045,LAMP,5,0.0455917
FLR-00045,LAMP,6,0.0452333
FLR-00045,LAMP,7,0.0424917
FLR-00045,LAMP,8,0.0428833
FLR-00045,LAMP,9,0.0471834
FLR-00045,LAMP,10,0.0471666
FLR-00045,LAMP,11,0.052
FLR-00045,LAMP,12,0.0594917
FLR-00045,LAMP,13,0.081675
FLR-00045,LAMP,14,0.1083
FLR-00045,LAMP,15,0.1422833
FLR-00045,LAMP,16,0.19625
FLR-00045,LAMP,17,
FLR-00046,LAMP,1,0.0582916
FLR-00046,LAMP,2,0.0884917
FLR-00046,LAMP,3,0.07025
FLR-00046,LAMP,4,0.0778667
FLR-00046,LAMP,5,0.0747916
FLR-00046,LAMP,6,0.079275
FLR-00046,LAMP,7,0.0799417
FLR-00046,LAMP,8,0.0857917
FLR-00046,LAMP,9,0.0816833
FLR-00046,LAMP,10,0.0882167
FLR-00046,LAMP,11,0.08885
FLR-00046,LAMP,12,0.099525
FLR-00046,LAMP,13,
FLR-00047,RIDGE,1,0.4639165
FLR-00047,RIDGE,2,0.433526
FLR-00047,RIDGE,3,0.4302801
FLR-00047,RIDGE,4,
FLR-00048,RIDGE,1,0.043
FLR-00048,RIDGE,2,0.212
FLR-00048,RIDGE,3,0.201
FLR-00048,RIDGE,4,0.198
FLR-00048,RIDGE,5,
FLR-00049,LAMP,1,0.1291042
FLR-00049,LAMP,2,0.1226985
FLR-00049,LAMP,3,0.116136
FLR-00049,LAMP,4,0.1208277
FLR-00049,LAMP,5,
FLR-00050,RIDGE,1,0.2841
FLR-00050,RIDGE,2,0.2976
FLR-00050,RIDGE,3,0.1715
FLR-00050,RIDGE,4,0.1485
FLR-00050,RIDGE,5,
FLR-00051,RIDGE,1,0.249
FLR-00051,RIDGE,2,0.242
FLR-00051,RIDGE,3,0.138
FLR-00051,RIDGE,4,0.141
FLR-00051,RIDGE,5,
FLR-00052,RIDGE,1,0.2213808
FLR-00052,RIDGE,2,0.2083569
FLR-00052,RIDGE,3,0.1052065
FLR-00052,RIDGE,4,0.1151207
FLR-00052,RIDGE,5,
FLR-00053,LAMP,1,0.4330833
FLR-00053,LAMP,2,0.4045167
FLR-00053,LAMP,3,0.4145333
FLR-00053,LAMP,4,
FLR-00054,RIDGE,1,0.0363492
FLR-00054,RIDGE,2,0.0396091
FLR-00054,RIDGE,3,0.0415708
FLR-00054,RIDGE,4,0.0447007
FLR-00054,RIDGE,5,0.0484857
FLR-00054,RIDGE,6,0.056682
FLR-00054,RIDGE,7,0.0699968
FLR-00054,RIDGE,8,
FLR-00055,LAMP,1,0.4240167
FLR-00055,LAMP,2,0.4303417
FLR-00055,LAMP,3,0.1965166
FLR-00055,LAMP,4,0.1964667
FLR-00055,LAMP,5,
FLR-00056,RIDGE,1,0.4926
FLR-00056,RIDGE,2,0.2747
FLR-00056,RIDGE,3,0.2248
FLR-00056,RIDGE,4,0.1905
FLR-00056,RIDGE,5,0.142
FLR-00056,RIDGE,6,0.1104
FLR-00056,RIDGE,7,
FLR-00057,LAMP,1,0.4418346
FLR-00057,LAMP,2,0.4156874
FLR-00057,LAMP,3,0.2219352
FLR-00057,LAMP,4,0.1988294
FLR-00057,LAMP,5,
FLR-00058,RIDGE,1,0.2558
FLR-00058,RIDGE,2,0.2497
FLR-00058,RIDGE,3,0.1753
FLR-00058,RIDGE,4,0.1419
FLR-00058,RIDGE,5,
FLR-00059,RIDGE,1,0.362
FLR-00059,RIDGE,2,0.202
FLR-00059,RIDGE,3,0.175
FLR-00059,RIDGE,4,
FLR-00060,RIDGE,1,0.4551
FLR-00060,RIDGE,2,0.4262
FLR-00060,RIDGE,3,0.2061
FLR-00060,RIDGE,4,0.2122
FLR-00060,RIDGE,5,
FLR-00061,RIDGE,1,0.2706
FLR-00061,RIDGE,2,0.2945
FLR-00061,RIDGE,3,0.2861
FLR-00061,RIDGE,4,0.2957
FLR-00061,RIDGE,5,
FLR-00062,LAMP,1,0.3820141
FLR-00062,LAMP,2,0.3476872
FLR-00062,LAMP,3,0.1766481
FLR-00062,LAMP,4,0.1518744
FLR-00062,LAMP,5,
FLR-00063,RIDGE,1,0.0391618
FLR-00063,RIDGE,2,0.0550459
FLR-00063,RIDGE,3,0.0598594
FLR-00063,RIDGE,4,0.061098
FLR-00063,RIDGE,5,0.0625117
FLR-00063,RIDGE,6,0.0733585
FLR-00063,RIDGE,7,
FLR-00064,RIDGE,1,0.114
FLR-00064,RIDGE,2,0.1
FLR-00064,RIDGE,3,0.076
FLR-00064,RIDGE,4,0.066
FLR-00064,RIDGE,5,
FLR-00065,LAMP,1,0.4223916
FLR-00065,LAMP,2,0.3782
FLR-00065,LAMP,3,0.1829584
FLR-00065,LAMP,4,0.1577416
FLR-00065,LAMP,5,
FLR-00066,RIDGE,1,0.387
FLR-00066,RIDGE,2,0.369
FLR-00066,RIDGE,3,0.19
FLR-00066,RIDGE,4,0.187
FLR-00066,RIDGE,5,
FLR-00067,RIDGE,1,0.2614
FLR-00067,RIDGE,2,0.2552
FLR-00067,RIDGE,3,0.2571
FLR-00067,RIDGE,4,0.2505
FLR-00067,RIDGE,5,
FLR-00068,RIDGE,1,0.033
FLR-00068,RIDGE,2,0.038
FLR-00068,RIDGE,3,0.04
FLR-00068,RIDGE,4,0.038
FLR-00068,RIDGE,5,0.038
FLR-00068,RIDGE,6,0.039
FLR-00068,RIDGE,7,0.048
FLR-00068,RIDGE,8,
FLR-00069,RIDGE,1,0.5085916
FLR-00069,RIDGE,2,0.4513667
FLR-00069,RIDGE,3,0.276575
FLR-00069,RIDGE,4,0.2417583
FLR-00069,RIDGE,5,
FLR-00070,RIDGE,1,0.056
FLR-00070,RIDGE,2,0.027
FLR-00070,RIDGE,3,0.035
FLR-00070,RIDGE,4,0.025
FLR-00070,RIDGE,5,0.032
FLR-00070,RIDGE,6,0.033
FLR-00070,RIDGE,7,0.042
FLR-00070,RIDGE,8,0.048
FLR-00070,RIDGE,9,0.062
FLR-00070,RIDGE,10,
FLR-00071,RIDGE,1,0.107
FLR-00071,RIDGE,2,0.1
FLR-00071,RIDGE,3,0.074
FLR-00071,RIDGE,4,0.07
FLR-00071,RIDGE,5,
FLR-00072,RIDGE,1,0.293956
FLR-00072,RIDGE,2,0.2773498
FLR-00072,RIDGE,3,0.292465
FLR-00072,RIDGE,4,0.3295345
FLR-00072,RIDGE,5,
FLR-00073,LAMP,1,0.3729584
FLR-00073,LAMP,2,0.352775
FLR-00073,LAMP,3,0.1728416
FLR-00073,LAMP,4,0.1689667
FLR-00073,LAMP,5,
FLR-00074,RIDGE,1,0.2464593
FLR-00074,RIDGE,2,0.2374905
FLR-00074,RIDGE,3,2.10E-06
FLR-00074,RIDGE,4,0.1926434
FLR-00074,RIDGE,5,0.1510183
FLR-00074,RIDGE,6,
FLR-00075,RIDGE,1,0.114
FLR-00075,RIDGE,2,0.092
FLR-00075,RIDGE,3,0.077
FLR-00075,RIDGE,4,0.081
FLR-00075,RIDGE,5,
FLR-00076,RIDGE,1,0.113
FLR-00076,RIDGE,2,0.087
FLR-00076,RIDGE,3,0.084
FLR-00076,RIDGE,4,0.079
FLR-00076,RIDGE,5,
FLR-00077,RIDGE,1,0.0805587
FLR-00077,RIDGE,2,0.0879455
FLR-00077,RIDGE,3,0.0750601
FLR-00077,RIDGE,4,0.0710129
FLR-00077,RIDGE,5,
FLR-00078,RIDGE,1,0.1169916
FLR-00078,RIDGE,2,0.088175
FLR-00078,RIDGE,3,0.07485
FLR-00078,RIDGE,4,0.0684584
FLR-00078,RIDGE,5,0.07095
FLR-00078,RIDGE,6,
FLR-00079,RIDGE,1,0.0951
FLR-00079,RIDGE,2,0.1033
FLR-00079,RIDGE,3,0.0795
FLR-00079,RIDGE,4,0.0612
FLR-00079,RIDGE,5,
FLR-00080,LAMP,1,0.4897666
FLR-00080,LAMP,2,0.4819583
FLR-00080,LAMP,3,0.2188334
FLR-00080,LAMP,4,0.22175
FLR-00080,LAMP,5,
FLR-00081,RIDGE,1,0.2531
FLR-00081,RIDGE,2,0.1619
FLR-00081,RIDGE,3,0.1079
FLR-00081,RIDGE,4,
FLR-00082,RIDGE,1,0.5378596
FLR-00082,RIDGE,2,0.510104
FLR-00082,RIDGE,3,0.2665103
FLR-00082,RIDGE,4,0.1724098
FLR-00082,RIDGE,5,
FLR-00083,RIDGE,1,0.27
FLR-00083,RIDGE,2,0.213
FLR-00083,RIDGE,3,0.133
FLR-00083,RIDGE,4,0.132
FLR-00083,RIDGE,5,
FLR-00084,LAMP,1,0.0354122
FLR-00084,LAMP,2,0.050052
FLR-00084,LAMP,3,0.0494985
FLR-00084,LAMP,4,0.0498225
FLR-00084,LAMP,5,0.0470297
FLR-00084,LAMP,6,0.0466187
FLR-00084,LAMP,7,0.0509719
FLR-00084,LAMP,8,
FLR-00085,RIDGE,1,0.2339031
FLR-00085,RIDGE,2,0.2646304
FLR-00085,RIDGE,3,0.1699056
FLR-00085,RIDGE,4,0.1451989
FLR-00085,RIDGE,5,
FLR-00086,RIDGE,1,0.3737583
FLR-00086,RIDGE,2,0.3340417
FLR-00086,RIDGE,3,0.1630083
FLR-00086,RIDGE,4,0.1586917
FLR-00086,RIDGE,5,
FLR-00087,RIDGE,1,0.3127
FLR-00087,RIDGE,2,0.2794
FLR-00087,RIDGE,3,0.1483
FLR-00087,RIDGE,4,0.1697
FLR-00087,RIDGE,5,
FLR-00088,RIDGE,1,0.4663298
FLR-00088,RIDGE,2,0.4423645
FLR-00088,RIDGE,3,0.2036866
FLR-00088,RIDGE,4,0.2278152
FLR-00088,RIDGE,5,
FLR-00089,RIDGE,1,0.4608417
FLR-00089,RIDGE,2,0.4324166
FLR-00089,RIDGE,3,0.1739584
FLR-00089,RIDGE,4,0.2168666
FLR-00089,RIDGE,5,
FLR-00090,RIDGE,1,0.297
FLR-00090,RIDGE,2,0.264
FLR-00090,RIDGE,3,0.157
FLR-00090,RIDGE,4,0.161
FLR-00090,RIDGE,5,
FLR-00091,RIDGE,1,0.283
FLR-00091,RIDGE,2,0.2781
FLR-00091,RIDGE,3,0.2715
FLR-00091,RIDGE,4,0.2909
FLR-00091,RIDGE,5,
FLR-00092,RIDGE,1,0.1000912
FLR-00092,RIDGE,2,0.0885124
FLR-00092,RIDGE,3,0.0763955
FLR-00092,RIDGE,4,0.0697991
FLR-00092,RIDGE,5,
FLR-00093,RIDGE,1,0.2416
FLR-00093,RIDGE,2,0.2735
FLR-00093,RIDGE,3,0.1493
FLR-00093,RIDGE,4,0.121
FLR-00093,RIDGE,5,
FLR-00094,RIDGE,1,0.263
FLR-00094,RIDGE,2,0.292
FLR-00094,RIDGE,3,0.169
FLR-00094,RIDGE,4,0.16
FLR-00094,RIDGE,5,
FLR-00095,RIDGE,1,0.039
FLR-00095,RIDGE,2,0.057
FLR-00095,RIDGE,3,0.063
FLR-00095,RIDGE,4,0.059
FLR-00095,RIDGE,5,0.048
FLR-00095,RIDGE,6,0.045
FLR-00095,RIDGE,7,0.042
FLR-00095,RIDGE,8,0.046
FLR-00095,RIDGE,9,
FLR-00096,RIDGE,1,0.176
FLR-00096,RIDGE,2,0.286
FLR-00096,RIDGE,3,0.193
FLR-00096,RIDGE,4,0.13
FLR-00096,RIDGE,5,0.148
FLR-00096,RIDGE,6,
FLR-00097,RIDGE,1,0.43685
FLR-00097,RIDGE,2,0.431575
FLR-00097,RIDGE,3,0.1997666
FLR-00097,RIDGE,4,0.1950334
FLR-00097,RIDGE,5,
FLR-00098,RIDGE,1,0.251
FLR-00098,RIDGE,2,0.244
FLR-00098,RIDGE,3,0.152
FLR-00098,RIDGE,4,0.117
FLR-00098,RIDGE,5,
FLR-00099,RIDGE,1,0.450425
FLR-00099,RIDGE,2,0.4240916
FLR-00099,RIDGE,3,0.186375
FLR-00099,RIDGE,4,0.1920084
FLR-00099,RIDGE,5,
FLR-00100,RIDGE,1,0.4608371
FLR-00100,RIDGE,2,0.4244361
FLR-00100,RIDGE,3,0.1887977
FLR-00100,RIDGE,4,0.2037678
FLR-00100,RIDGE,5,
FLR-00101,LAMP,1,0.4600167
FLR-00101,LAMP,2,0.420825
FLR-00101,LAMP,3,0.2040833
FLR-00101,LAMP,4,0.2087
FLR-00101,LAMP,5,
FLR-00102,RIDGE,1,0.081
FLR-00102,RIDGE,2,0.077
FLR-00102,RIDGE,3,0.074
FLR-00102,RIDGE,4,0.08
FLR-00102,RIDGE,5,
FLR-00103,LAMP,1,0.3097248
FLR-00103,LAMP,2,0.3054568
FLR-00103,LAMP,3,0.1618846
FLR-00103,LAMP,4,0.1471502
FLR-00103,LAMP,5,
FLR-00104,LAMP,1,0.0807167
FLR-00104,LAMP,2,0.08835
FLR-00104,LAMP,3,0.0745083
FLR-00104,LAMP,4,0.0710083
FLR-00104,LAMP,5,
FLR-00105,RIDGE,1,0.415317
FLR-00105,RIDGE,2,0.391672
FLR-00105,RIDGE,3,0.163086
FLR-00105,RIDGE,4,0.144261
FLR-00105,RIDGE,5,
FLR-00106,RIDGE,1,0.3467
FLR-00106,RIDGE,2,0.3295
FLR-00106,RIDGE,3,0.3287
FLR-00106,RIDGE,4,0.3361
FLR-00106,RIDGE,5,
FLR-00107,RIDGE,1,0.278
FLR-00107,RIDGE,2,0.264
FLR-00107,RIDGE,3,0.166
FLR-00107,RIDGE,4,0.163
FLR-00107,RIDGE,5,
FLR-00108,LAMP,1,0.4303842
FLR-00108,LAMP,2,0.4131096
FLR-00108,LAMP,3,0.1927864
FLR-00108,LAMP,4,0.1713368
FLR-00108,LAMP,5,
FLR-00109,RIDGE,1,0.2409833
FLR-00109,RIDGE,2,0.2497667
FLR-00109,RIDGE,3,0.16815
FLR-00109,RIDGE,4,0.1331166
FLR-00109,RIDGE,5,
FLR-00110,RIDGE,1,0.2512
FLR-00110,RIDGE,2,0.1536
FLR-00110,RIDGE,3,0.1034
FLR-00110,RIDGE,4,
FLR-00111,LAMP,1,0.0422584
FLR-00111,LAMP,2,0.185375
FLR-00111,LAMP,3,0.2261
FLR-00111,LAMP,4,0.1951333
FLR-00111,LAMP,5,
FLR-00112,LAMP,1,0.0851196
FLR-00112,LAMP,2,0.0891883
FLR-00112,LAMP,3,0.0709003
FLR-00112,LAMP,4,0.0605048
FLR-00112,LAMP,5,
FLR-00113,RIDGE,1,0.3020877
FLR-00113,RIDGE,2,0.2656627
FLR-00113,RIDGE,3,0.1686639
FLR-00113,RIDGE,4,0.1656161
FLR-00113,RIDGE,5,
FLR-00114,RIDGE,1,0.4379584
FLR-00114,RIDGE,2,0.4484166
FLR-00114,RIDGE,3,0.2119584
FLR-00114,RIDGE,4,0.2033416
FLR-00114,RIDGE,5,
FLR-00115,RIDGE,1,0.2922
FLR-00115,RIDGE,2,0.2919
FLR-00115,RIDGE,3,0.2923
FLR-00115,RIDGE,4,0.3071
FLR-00115,RIDGE,5,
FLR-00116,RIDGE,1,0.2663417
FLR-00116,RIDGE,2,0.3081
FLR-00116,RIDGE,3,0.1585583
FLR-00116,RIDGE,4,0.1536917
FLR-00116,RIDGE,5,
FLR-00117,LAMP,1,0.1913224
FLR-00117,LAMP,2,0.1048713
FLR-00117,LAMP,3,
FLR-00118,RIDGE,1,0.257
FLR-00118,RIDGE,2,0.262
FLR-00118,RIDGE,3,0.181
FLR-00118,RIDGE,4,0.165
FLR-00118,RIDGE,5,
FLR-00119,RIDGE,1,0.344
FLR-00119,RIDGE,2,0.303
FLR-00119,RIDGE,3,0.205
FLR-00119,RIDGE,4,0.153
FLR-00119,RIDGE,5,
FLR-00120,RIDGE,1,0.2538
FLR-00120,RIDGE,2,0.1559
FLR-00120,RIDGE,3,0.1011
FLR-00120,RIDGE,4,
FLR-00121,RIDGE,1,0.0468334
FLR-00121,RIDGE,2,0.0538666
FLR-00121,RIDGE,3,0.0550334
FLR-00121,RIDGE,4,0.0505916
FLR-00121,RIDGE,5,0.0499
FLR-00121,RIDGE,6,0.0625084
FLR-00121,RIDGE,7,0.1075083
FLR-00121,RIDGE,8,
FLR-00122,LAMP,1,0.4339167
FLR-00122,LAMP,2,0.4517833
FLR-00122,LAMP,3,0.2005
FLR-00122,LAMP,4,0.2126584
FLR-00122,LAMP,5,
FLR-00123,RIDGE,1,0.08675
FLR-00123,RIDGE,2,0.085475
FLR-00123,RIDGE,3,0.0728167
FLR-00123,RIDGE,4,0.066725
FLR-00123,RIDGE,5,
FLR-00124,RIDGE,1,0.3989512
FLR-00124,RIDGE,2,0.3795424
FLR-00124,RIDGE,3,0.3795088
FLR-00124,RIDGE,4,
FLR-00125,LAMP,1,0.383375
FLR-00125,LAMP,2,0.4107084
FLR-00125,LAMP,3,0.1606416
FLR-00125,LAMP,4,0.155975
FLR-00125,LAMP,5,
FLR-00126,RIDGE,1,0.277275
FLR-00126,RIDGE,2,0.2634333
FLR-00126,RIDGE,3,0.2815667
FLR-00126,RIDGE,4,0.2833916
FLR-00126,RIDGE,5,
FLR-00127,RIDGE,1,0.098
FLR-00127,RIDGE,2,0.091
FLR-00127,RIDGE,3,0.095
FLR-00127,RIDGE,4,0.063
FLR-00127,RIDGE,5,
FLR-00128,RIDGE,1,0.0953
FLR-00128,RIDGE,2,0.0885
FLR-00128,RIDGE,3,0.0747
FLR-00128,RIDGE,4,0.0644
FLR-00128,RIDGE,5,
FLR-00129,RIDGE,1,0.2888
FLR-00129,RIDGE,2,0.3017
FLR-00129,RIDGE,3,0.1688
FLR-00129,RIDGE,4,0.1422
FLR-00129,RIDGE,5,
FLR-00130,RIDGE,1,0.3715383
FLR-00130,RIDGE,2,0.3310401
FLR-00130,RIDGE,3,0.1941591
FLR-00130,RIDGE,4,0.1963297
FLR-00130,RIDGE,5,
FLR-00131,RIDGE,1,0.2115
FLR-00131,RIDGE,2,0.292
FLR-00131,RIDGE,3,0.087
FLR-00131,RIDGE,4,0.0943
FLR-00131,RIDGE,5,
FLR-00132,RIDGE,1,0.074
FLR-00132,RIDGE,2,0.0965
FLR-00132,RIDGE,3,
FLR-00133,RIDGE,1,0.124
FLR-00133,RIDGE,2,0.099
FLR-00133,RIDGE,3,0.073
FLR-00133,RIDGE,4,0.066
FLR-00133,RIDGE,5,0.058
FLR-00133,RIDGE,6,
FLR-00134,LAMP,1,0.0288834
FLR-00134,LAMP,2,0.04025
FLR-00134,LAMP,3,0.0399583
FLR-00134,LAMP,4,0.0432667
FLR-00134,LAMP,5,0.0473833
FLR-00134,LAMP,6,0.0475833
